,State,County,GroceryStores,SupercentersClubStores,ConvenienceStores,SpecializedFoodStores,FastFoodRestaurants,FullServiceRestaurants
2157,OK,Grant,3,0,4,0,2,1
2158,OK,Greer,3,0,4,0,1,4
2159,OK,Harmon,2,0,3,0,0,1
2160,OK,Harper,2,0,3,0,1,4
2161,OK,Haskell,2,1,12,1,4,8
2162,OK,Hughes,4,0,11,0,10,4
2163,OK,Jackson,2,1,16,3,17,17
2164,OK,Jefferson,2,0,8,0,2,6
2165,OK,Johnston,1,0,11,0,3,4
2166,OK,Kay,10,1,25,0,33,33
2167,OK,Kingfisher,2,1,13,0,10,14
2168,OK,Kiowa,6,0,6,1,4,6
2169,OK,Latimer,2,0,4,0,2,4
2170,OK,Le Flore,6,1,36,2,20,22
2171,OK,Lincoln,5,0,15,0,21,19
2172,OK,Logan,2,0,21,2,14,25
2173,OK,Love,2,0,4,0,2,7
2174,OK,McClain,2,2,21,1,24,21
2175,OK,McCurtain,8,1,25,0,10,16
2176,OK,McIntosh,5,0,10,1,8,14
2177,OK,Major,3,0,11,0,2,6
2178,OK,Marshall,4,0,13,0,8,10
2179,OK,Mayes,7,1,26,1,24,31
2180,OK,Murray,2,0,7,1,12,8
2181,OK,Muskogee,11,1,39,5,53,41
2182,OK,Noble,1,0,5,0,4,7
2183,OK,Nowata,2,0,4,0,2,7
2184,OK,Okfuskee,3,0,4,0,2,8
2185,OK,Oklahoma,171,15,206,38,641,553
2186,OK,Okmulgee,8,1,25,0,20,21
2187,OK,Osage,3,1,22,2,17,17
2188,OK,Ottawa,3,1,16,1,15,20
2189,OK,Pawnee,2,0,9,0,12,5
2190,OK,Payne,4,2,29,2,48,46
2191,OK,Pittsburg,6,1,37,2,29,30
2192,OK,Pontotoc,5,1,18,1,16,27
2193,OK,Pottawatomie,7,1,29,6,90,34
2194,OK,Pushmataha,5,0,9,1,8,7
2195,OK,Roger Mills,1,0,7,0,0,4
2196,OK,Rogers,6,1,28,4,41,34
2197,OK,Seminole,5,1,14,2,15,7
2198,OK,Sequoyah,7,1,26,0,18,22
2199,OK,Stephens,10,1,28,2,26,29
2200,OK,Texas,4,1,11,1,9,24
2201,OK,Tillman,3,0,8,1,2,4
2202,OK,Tulsa,76,12,198,38,504,474
2203,OK,Wagoner,1,2,30,1,24,22
2204,OK,Washington,8,1,24,3,32,39
2205,OK,Washita,3,0,10,1,3,8
2206,OK,Woods,3,1,7,1,8,7
2207,OK,Woodward,4,1,18,1,17,18
2208,OR,Baker,8,1,8,2,7,22
2209,OR,Benton,13,3,23,5,60,63
2210,OR,Clackamas,58,11,106,28,246,281
2211,OR,Clatsop,15,2,20,13,33,94
2212,OR,Columbia,7,1,19,3,23,32
2213,OR,Coos,20,4,27,10,36,64
2214,OR,Crook,6,1,11,2,12,13
2215,OR,Curry,8,1,7,2,14,35
2216,OR,Deschutes,34,8,47,16,128,186
2217,OR,Douglas,27,4,62,10,82,84
2218,OR,Gilliam,3,0,1,0,1,2
2219,OR,Grant,3,0,6,1,5,7
2220,OR,Harney,2,0,4,0,7,14
2221,OR,Hood River,9,0,11,7,26,34
2222,OR,Jackson,34,7,77,18,149,182
2223,OR,Jefferson,6,1,7,0,13,11
2224,OR,Josephine,15,3,33,6,42,67
2225,OR,Klamath,14,3,30,10,49,61
2226,OR,Lake,2,0,7,0,7,14
2227,OR,Lane,61,18,142,30,278,287
2228,OR,Lincoln,17,2,20,11,34,106
2229,OR,Linn,20,5,49,9,60,72
2230,OR,Malheur,5,2,8,2,23,35
2231,OR,Marion,44,11,113,31,221,228
2232,OR,Morrow,3,0,0,0,2,4
2233,OR,Multnomah,126,19,275,69,645,1039
2234,OR,Polk,11,1,23,5,36,37
2235,OR,Sherman,2,0,3,0,0,3
2236,OR,Tillamook,10,1,19,6,12,50
2237,OR,Umatilla,14,4,25,6,43,62
2238,OR,Union,8,2,11,2,18,22
2239,OR,Wallowa,6,0,4,0,4,17
2240,OR,Wasco,6,2,9,3,22,31
2241,OR,Washington,80,17,140,47,372,397
2242,OR,Wheeler,1,0,0,0,0,1
2243,OR,Yamhill,15,3,34,6,47,65
2244,PA,Adams,15,0,25,13,60,68
2245,PA,Allegheny,195,13,403,94,904,1017
2246,PA,Armstrong,17,0,27,4,30,38
2247,PA,Beaver,26,2,62,12,104,84
2248,PA,Bedford,13,0,24,5,23,39
2249,PA,Berks,76,4,134,45,234,266
2250,PA,Blair,17,3,47,17,92,81
2251,PA,Bradford,14,0,39,7,31,43
2252,PA,Bucks,95,4,161,78,443,467
2253,PA,Butler,32,4,67,16,124,119
2254,PA,Cambria,31,2,46,10,100,78
2255,PA,Cameron,1,0,2,0,1,7
2256,PA,Carbon,12,0,23,7,31,49
2257,PA,Centre,15,3,42,12,91,100
2258,PA,Chester,66,4,112,40,326,318
2259,PA,Clarion,14,1,24,4,20,43
2260,PA,Clearfield,15,1,36,6,44,59
2261,PA,Clinton,5,1,16,1,20,27
2262,PA,Columbia,12,1,26,5,53,50
2263,PA,Crawford,24,2,27,7,45,68
2264,PA,Cumberland,38,4,72,22,151,156
2265,PA,Dauphin,50,4,114,19,189,211
2266,PA,Delaware,111,1,149,89,361,290
2267,PA,Elk,9,1,17,3,14,25
2268,PA,Erie,40,5,96,21,167,213
2269,PA,Fayette,30,2,48,9,82,89
2270,PA,Forest,2,0,2,0,3,10
2271,PA,Franklin,28,2,44,10,93,90
2272,PA,Fulton,1,0,8,1,6,5
2273,PA,Greene,12,1,20,0,22,17
2274,PA,Huntingdon,8,1,23,2,19,26
2275,PA,Indiana,10,2,32,7,48,50
2276,PA,Jefferson,10,1,15,5,27,36
2277,PA,Juniata,5,0,10,3,12,13
2278,PA,Lackawanna,41,2,90,28,146,211
2279,PA,Lancaster,109,4,151,72,285,282
2280,PA,Lawrence,10,1,42,3,53,61
2281,PA,Lebanon,36,2,45,12,71,71
2282,PA,Lehigh,71,3,121,33,219,252
2283,PA,Luzerne,63,3,134,24,203,285
2284,PA,Lycoming,21,1,51,15,70,100
2285,PA,McKean,10,1,25,3,23,36
2286,PA,Mercer,19,2,36,12,72,93
2287,PA,Mifflin,16,1,17,5,20,32
2288,PA,Monroe,28,3,61,13,96,157
2289,PA,Montgomery,135,7,210,90,609,609
2290,PA,Montour,4,0,8,1,11,13
2291,PA,Northampton,54,2,107,21,176,241
